job_title,location,company_name,job_desc
Data Scientist,"Los Angeles, CA",Supplyframe,"Summary
As Data Scientist you will get the chance to work on wide spectrum of challenges, ranging from traditional problems in Search and Computational Advertising to domain-specific challenges in Graph learning, Document Summarization and Knowledge Engin"
Data Scientist/Visualization Master,"Los Angeles, CA 90067 (Century City area)",Intermedia Advertising,We are seeking a Manager of Business Intelligence (BI Guru/Data Scientist/Visualization Master) to become an integral part of our team! You will analyze data and build visualizations to better understand business and market trends in order to increase our
Data & Applied Scientist,"Redmond, WA",Microsoft,Microsoft Cloud Capacity Planning is an exciting and fast evolving engineering group within Microsoft. MCCP’s mission is to optimize and deliver industry leading cloud infrastructure and foundational technologies for Microsoft’s online services. The o
Senior Data Scientist (NLP),"Washington, DC",MRP,"A Washington, DC based Series-A startup is looking to add a Data Scientist to the team. Their product is designed for open source intelligence analysts and corporate risk management professionals in a variety of financial crime prevention and third party "
Data Scientist,"Charlotte, NC","PartnerRe Holdings Europe Limited, Dublin","Data ScientistThe role holder, based in North America, will join the global analytics team within Life & Health, and should make a significant contribution to the enhancement of PartnerRe Life & Health’s value proposition. They will be responsible for p"
Staff Data Scientist,"San Diego, CA 92112",Intuit,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.
Senior Data Scientist,"Louisville, KY",Humana,"Description
The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately compl"
Senior Data Scientist,"Fort Lee, NJ 07024",TRANZACT,"How the Position WorksThe Data Scientist reports to the VP of Data Science and Analytics and is responsible for gathering data, conducting analysis, building predictive algorithms and communicating findings to drive profitable growth and performance acros"
Staff Data Scientist,"San Diego, CA 92112",Intuit,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.
Senior Data Scientist,"Louisville, KY",Humana,"Description
The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately compl"
Data & Applied Scientist,"Redmond, WA",Microsoft,Microsoft Cloud Capacity Planning is an exciting and fast evolving engineering group within Microsoft. MCCP’s mission is to optimize and deliver industry leading cloud infrastructure and foundational technologies for Microsoft’s online services. The o
Senior Data Scientist (NLP),"Washington, DC",MRP,"A Washington, DC based Series-A startup is looking to add a Data Scientist to the team. Their product is designed for open source intelligence analysts and corporate risk management professionals in a variety of financial crime prevention and third party "
Data Scientist (Full-Time),Remote,proton.ai,"Notes: To apply for this position, please fill out an application here: https://app.beapplied.com/apply/2ldwjg5wep?utm_source=indeed_remote. We will not review applications on indeed.Job Description Data Scientist (Full-Time)Team:  Data ScienceLocation:  "
Data Scientist,"Washington, DC",World Bank Group,"Job #: req6482
Organization: World Bank
Sector: Poverty Reduction
Grade: GF
Term Duration: 3 years 0 months
Recruitment Type: International Recruitment
Location: Washington, DC,United States
Required Language(s): English
Preferred Language(s):
Closing Dat"
Data Scientist - Nationwide Opportunities,"Santa Monica, CA","Amazon Web Services, Inc.","Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experienceExperience with ML fields, e.g., natural language processing, com"
Data Scientist,"Basking Ridge, NJ",Teckstar,"Job SummaryStatic Client techniquesTensorflowJob Types: Full-time, ContractExperience:Data scientist: 8 years (Required)"
Senior Data Scientist,"Irving, TX",Nespon IT Services,"US Citizens, GC holders with min 10 years of exp, and at least 5 years of exp as Data ScientistH1B with more than 10 years at least 5 years of exp as Data Scientist can applyC2C and 1099 is allowed.Phd is preferred, Masters Degree is required with Enginee"
Data Scientist - Entry Level,Remote,Pathrise,"What is Pathrise?
Pathrise (YC W18) is an online program for tech professionals that provides 1-on-1 mentorship, training and advice to help you land your next job. On top of that, we're built around aligned incentives. You only pay if you succeed in gett"
Data Scientist,"Los Angeles, CA 90079",Adavance2,"About the position

Advance2 is a fast-growing marketing optimization tech startup. We’re bringing the world of marketing optimization to the next level leveraging Machine Learning. Advance2 automates data collection, model building, insights extraction"
Data Scientist,"Pasadena, CA",Deep 6 AI,"Deep 6 AI is a fast-growing tech startup in Pasadena, California looking for talented team members who want to help shape our groundbreaking artificial intelligence platform. Our software helps doctors and researchers find patients for clinical trials, ge"
Jr. Data Scientist,"New York, NY",Iovate Health Sciences International Inc.,"If you are a highly motivated individual with a passion for health & wellness along with a commitment to excellence, we want YOU! Iovate is the maker of the MuscleTech, Six Star and Hydroxycut family of products and the leader in the active nutrition, wei"
Data Scientist,"Charlotte, NC","PartnerRe Holdings Europe Limited, Dublin","Data ScientistThe role holder, based in North America, will join the global analytics team within Life & Health, and should make a significant contribution to the enhancement of PartnerRe Life & Health’s value proposition. They will be responsible for p"
OCR Data Scientist,"Boston, MA 02199 (Back Bay area)",iQuartic,"ResponsibilitiesThe Senior Data Science Engineer will work closely with the software engineering team and domain experts at IQuartic, leverage OCR and machine learning techniques to develop digitization software for medical record scans.You will bring the"
Senior Data Scientist,"Fort Lee, NJ 07024",TRANZACT,"How the Position WorksThe Data Scientist reports to the VP of Data Science and Analytics and is responsible for gathering data, conducting analysis, building predictive algorithms and communicating findings to drive profitable growth and performance acros"
Data Scientist,"Charlotte, NC","PartnerRe Holdings Europe Limited, Dublin","Data ScientistThe role holder, based in North America, will join the global analytics team within Life & Health, and should make a significant contribution to the enhancement of PartnerRe Life & Health’s value proposition. They will be responsible for p"
Senior Data Scientist,"Louisville, KY",Humana,"Description
The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately compl"
"Data Scientist, New Graduate (2020)","Pittsburgh, PA",Duolingo,"Support data-driven product decisions that impact the lives of millions everyday.

Data is the bread-and-butter of Duolingo. Join our team of data scientists and use our database of rich user data to generate insights to guide product development for 300 "
Data Scientist / Machine Learning Engineer,"Philadelphia, PA",Excel Technologies Solutions,Data Scientist / Machine Learning EngineerSeeking a Azure Big Data Machine Learning Engineer where you will help leverage data to make informed decisions. You will be knowledgeable of cloud based architectures and Azure technologies. You will be passionat
"Data Science, Analytics Intern","Los Angeles, CA",Tinder,"Tinder brings people together. With tens of millions of users and a presence in over 190+ countries, our reach is expansive—and rapidly growing. Your work here can change the world. We are looking for a quantitative social scientist with experience in a"
Data Scientist,"Carlsbad, CA 92009 (Bressi Ranch area)",ViaSat,"Bigger challenges. Bolder ideas. Global impact. At Viasat, we’re on a mission to deliver connections with the capacity to change the world. We’re the company behind the world’s fastest satellite internet service, with technology that’s helping to "
Data Scientist,"New York, NY 10119 (Chelsea area)",Biz2Credit Inc,"Job Description
About the Role: This is a rare opportunity to join a small but fast-growing team, where you will play a major role in shaping Biz2Credit?s future. We?re looking for an exceptional candidate that is excited about the opportunity to build a "
Staff Data Scientist,"San Diego, CA 92112",Intuit,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.
Data Scientist,"San Diego, CA 92127",HP,"Data Scientist
As Data Scientist at HP Inc. in San Diego, you will join an industry-leading organization and work on developing frameworks for systematic data science modeling to identify optimal marketing, pricing and sales decisions for our Printing & P"
"Intern, Data Science (Summer 2020)","Hollywood, CA 90028",Ticketmaster,"Job Summary:
Who we are
We’re fans who help fans everywhere get in to the live events they love. A proud division of Live Nation Entertainment, Ticketmaster has changed the way the world connects with their favorite artists, teams, and shows, and we con"
Data Scientist,"Orlando, FL",NBCUniversal,"This Data Scientist position is part of the Decision Science team at Golf Channel/NBC Sports. The data scientist will be responsible of providing different arms of the business such as revenue, pricing and/or marketing with data driven insights using adva"
Jr. Data Scientist,"Denver, CO",DarkOwl,"What does a Jr. Data Scientist do at DarkOwl?
The world needs more DarkOwls and fewer bad guys. We are experiencing a time of great growth and are expanding our Research Development team to generate algorithms, analytic tools, and publications that provid"
Jr. Data Scientist,"New York, NY",Iovate Health Sciences International Inc.,"If you are a highly motivated individual with a passion for health & wellness along with a commitment to excellence, we want YOU! Iovate is the maker of the MuscleTech, Six Star and Hydroxycut family of products and the leader in the active nutrition, wei"
Staff Data Scientist,"San Diego, CA 92112",Intuit,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.
OCR Data Scientist,"Boston, MA 02199 (Back Bay area)",iQuartic,"ResponsibilitiesThe Senior Data Science Engineer will work closely with the software engineering team and domain experts at IQuartic, leverage OCR and machine learning techniques to develop digitization software for medical record scans.You will bring the"
Staff Data Scientist,"San Diego, CA 92112",Intuit,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.
Data Scientist / Machine Learning Engineer,"Philadelphia, PA",Excel Technologies Solutions,Data Scientist / Machine Learning EngineerSeeking a Azure Big Data Machine Learning Engineer where you will help leverage data to make informed decisions. You will be knowledgeable of cloud based architectures and Azure technologies. You will be passionat
Data Scientist,"New York, NY",Digitalogy,"What you will do

Responsible for assisting with the development of our state-of-the-art, advanced analytical machine-learning-based software framework that can ingest, structure and model large amounts of data in different formats and from different sour"
Data Scientist,"Seattle, WA",Brightloom,"The Role:
Brightloom is creating an entirely new category of software-as-a-service for consumer brands -- the Customer Growth Platform. This first-of-its-kind platform enables automated digital engagement and personalized loyalty programs to transform cus"
"Intern, Data Science (Summer 2020)","Hollywood, CA 90028",Ticketmaster,"Job Summary:
Who we are
We’re fans who help fans everywhere get in to the live events they love. A proud division of Live Nation Entertainment, Ticketmaster has changed the way the world connects with their favorite artists, teams, and shows, and we con"
Data Scientist,"Los Angeles, CA",Takeda Pharmaceuticals,"Summary:
Gathers and identifies local data science projects/initiatives/requests in collaboration with local/global MS teams, and other local functions. This position is part of the Digital and Data Sciences (DDS) team within the Manufacturing Sciences (M"
Data Scientist,"Orange, CA",Gustaine,"Role Summary / Purpose

Highly motivated self-driven Engineer in statistics / predictive modeling / data quality to lead and guide multi-disciplinary project teams addressing key challenges for different businesses. Creation of intellectual property will "
Data Scientist,"Washington, DC 20001 (Chinatown area)",Monumental Sports & Entertainment,"Monumental Sports & Entertainment (MSE), located in Washington, D.C., is one of the largest integrated sports and entertainment companies in the country with one of the most diverse partnership groups in all of sports. MSE owns and operates five professio"
RET Design Engineer / Data Scientist,"Hillsboro, OR 97124",Intel,"Job Description
Intel invites you to join the team that develops and implements Resolution Enhancement Techniques that assist the successful pattern transfer from mask to wafer in a sub-wavelength imaging regime and enable the manufacture of every Intel s"
Data Scientist,"Santa Fe Springs, CA 90670",Accuride International,"For more than 50 years, Accuride International Inc. has been a pioneering world leader in the invention, design, and manufacture of innovative movement solutions. The company is headquartered in Santa Fe Springs, California and has an impressive global fo"
Senior Biotech Laboratory Technician/Data Analyst Updated 2/28/2020,"Los Angeles, CA 90034 (Palms area)","Laragen, Inc","Laragen, Inc is a biotech company specializing in genomics services. For more than 20 years, we have served academic institutions and private industrial sectors worldwide.We are currently looking for a senior laboratory technician/data analyst. Main job r"
Clinical Data Scientist (Life Sciences),"Boston, MA",Harbor Clinical,"Established to be your integrated Quality Assurance and Regulatory Compliance partner, with a laser focus on facilitating your clinical trial execution. Developing and supporting your quality initiatives from Day 1, the Harbor team is committed to quality"
Staff Data Scientist,"San Diego, CA 92112",Intuit,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.
Data Scientist,"Charlotte, NC","PartnerRe Holdings Europe Limited, Dublin","Data ScientistThe role holder, based in North America, will join the global analytics team within Life & Health, and should make a significant contribution to the enhancement of PartnerRe Life & Health’s value proposition. They will be responsible for p"
Jr. Data Scientist,"New York, NY",Iovate Health Sciences International Inc.,"If you are a highly motivated individual with a passion for health & wellness along with a commitment to excellence, we want YOU! Iovate is the maker of the MuscleTech, Six Star and Hydroxycut family of products and the leader in the active nutrition, wei"
Data Scientist,"Chevy Chase, MD",GEICO,"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic mod"
OCR Data Scientist,"Boston, MA 02199 (Back Bay area)",iQuartic,"ResponsibilitiesThe Senior Data Science Engineer will work closely with the software engineering team and domain experts at IQuartic, leverage OCR and machine learning techniques to develop digitization software for medical record scans.You will bring the"
Senior Data Scientist,"Fort Lee, NJ 07024",TRANZACT,"How the Position WorksThe Data Scientist reports to the VP of Data Science and Analytics and is responsible for gathering data, conducting analysis, building predictive algorithms and communicating findings to drive profitable growth and performance acros"
Senior Data Scientist,"Louisville, KY",Humana,"Description
The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately compl"
Senior Data Scientist,"Fort Lee, NJ 07024",TRANZACT,"How the Position WorksThe Data Scientist reports to the VP of Data Science and Analytics and is responsible for gathering data, conducting analysis, building predictive algorithms and communicating findings to drive profitable growth and performance acros"
Data Scientist,"Charlotte, NC","PartnerRe Holdings Europe Limited, Dublin","Data ScientistThe role holder, based in North America, will join the global analytics team within Life & Health, and should make a significant contribution to the enhancement of PartnerRe Life & Health’s value proposition. They will be responsible for p"
Senior Data Scientist,"Louisville, KY",Humana,"Description
The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately compl"
Data Scientist,"Santa Fe Springs, CA 90670",Accuride International,"For more than 50 years, Accuride International Inc. has been a pioneering world leader in the invention, design, and manufacture of innovative movement solutions. The company is headquartered in Santa Fe Springs, California and has an impressive global fo"
Data Scientist,"Los Angeles, CA",Quibi - Los Angeles,"Quibi is seeking data scientists to build cutting-edge machine learning models, analytical products and testing frameworks. Our centralized data science team will help the organization to understand and predict subscriber behaviors, inform product & conte"
"Data Scientist, Analytics (University Grad)","Menlo Park, CA",Facebook,"Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or busines"
Data Scientist Internship,"Sunnyvale, CA",Acubed,"ADAM

The Advanced Digital Design and Manufacturing (ADAM) project seeks to accelerate the Airbus transition towards a future of digital design and manufacturing. The team is uniquely positioned to identify and innovate on emerging technologies with colla"
Product Data Scientist,"Los Angeles, CA",Snapchat,"Snap Inc. is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our products empower people to express themselves, live in the moment, learn about the world, and hav"
Data Scientist,"Raleigh, NC 27605 (Hillsborough area)",TRANZACT,"We’re looking for a data scientist to drive our data science and analytics group forward! You’ll be joining a group of curious, smart, technically minded yet business savvy data scientists and analysts looking to make a difference to the company by de"
Fandango- Data Scientist,"Beverly Hills, CA",NBCUniversal,"Responsibilities:Work with business owners and data architects to formulate hypothesis and discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products and customer experience.Apply data minin"
Data Scientist,"Alpharetta, GA",RELX Group,"Develops, analyzes and models operational, economic, management, accounting and other organizational data to quantify the competitive performance of business segments, evaluate potential operational changes, and design new approaches and methodologies. An"
2020 Citizen Data Scientist Internship,"Detroit, MI 48226 (Downtown area)",FCA,"FCA US LLC College Intern Program offers a unique opportunity for highly motivated, innovative, and inspired individuals to work on a challenging assignment where contribution, teamwork, and communication are vital to the success of the organization. As a"
Junior Data Analyst/Data Scientist,"Herndon, VA",Numero data LLC,"Job Summary__**Required Skills: Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations research, quantitative social science, etc.).Basic Knowledge on soft"
Jr. Data Scientist,"New York, NY",Iovate Health Sciences International Inc.,"If you are a highly motivated individual with a passion for health & wellness along with a commitment to excellence, we want YOU! Iovate is the maker of the MuscleTech, Six Star and Hydroxycut family of products and the leader in the active nutrition, wei"
Staff Data Scientist,"San Diego, CA 92112",Intuit,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.
OCR Data Scientist,"Boston, MA 02199 (Back Bay area)",iQuartic,"ResponsibilitiesThe Senior Data Science Engineer will work closely with the software engineering team and domain experts at IQuartic, leverage OCR and machine learning techniques to develop digitization software for medical record scans.You will bring the"
OCR Data Scientist,"Boston, MA 02199 (Back Bay area)",iQuartic,"ResponsibilitiesThe Senior Data Science Engineer will work closely with the software engineering team and domain experts at IQuartic, leverage OCR and machine learning techniques to develop digitization software for medical record scans.You will bring the"
Staff Data Scientist,"San Diego, CA 92112",Intuit,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.
Data Scientist for Growing Internet of Things Company,"San Diego, CA 92121",Veracity Wireless,"Description:
We are looking for a Data Scientist to assist our product enhancement and internal process management activities. The Data Scientist will work with us to build data models based on millions of data points. This is an ideal job if you are exci"
Junior Data Analyst/Data Scientist,"Herndon, VA",Numero data LLC,"Job Summary__**Required Skills: Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations research, quantitative social science, etc.).Basic Knowledge on soft"
Data Scientist I,"Denver, CO",Aegon,"Responsibilities
Design experiments and formulate machine learning problems to address major business challenges and innovation opportunities
Work with product managers and data engineers to discover, collect, cleanse, and refine the data needed for analy"
2020 Citizen Data Scientist Internship,"Detroit, MI 48226 (Downtown area)",FCA,"FCA US LLC College Intern Program offers a unique opportunity for highly motivated, innovative, and inspired individuals to work on a challenging assignment where contribution, teamwork, and communication are vital to the success of the organization. As a"
Fandango- Data Scientist,"Beverly Hills, CA",NBCUniversal,"Responsibilities:Work with business owners and data architects to formulate hypothesis and discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products and customer experience.Apply data minin"
General Motors Data Scientist - New Master's Graduate,"Detroit, MI",General Motors,"Who we are
At General Motors, we embrace the opportunity to think bigger and aim higher. It’s the confidence in knowing our ideas produce exceptional vehicles and mobility solutions that move the world in exciting new ways. With strong leadership and bo"
Junior Data Scientist,"Bloomington, IN",DataSprouts,"Job Description
DataSprouts is looking for a Junior Data Scientist to join our team in Bloomington,IN. Data Scientist will work in close collaboration with our team to implement large-scale data ecosystems including data management, governance and the int"
Data Scientist,"Monrovia, CA 91016",ChromoLogic,"We are a world class research and product development company located in Monrovia, CA with an opening for a Data Scientist. The ideal candidate will have a strong background in image processing, spectral analysis, or statistics. The Data Scientist will be"
"Data Scientist, Austin, TX","Austin, TX 78731",Dell,"Dell Technologies is a unique family of businesses that helps organizations and individuals build their digital future and transform how they work, live and play—providing customers with the industry’s broadest and most innovative technology and servi"
"Data Scientist, Junior","Arlington, VA 22202 (Aurora Highlands area)",Booz Allen Hamilton,"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive a"
Data Scientist,"Charlotte, NC","PartnerRe Holdings Europe Limited, Dublin","Data ScientistThe role holder, based in North America, will join the global analytics team within Life & Health, and should make a significant contribution to the enhancement of PartnerRe Life & Health’s value proposition. They will be responsible for p"
Senior Data Scientist,"Fort Lee, NJ 07024",TRANZACT,"How the Position WorksThe Data Scientist reports to the VP of Data Science and Analytics and is responsible for gathering data, conducting analysis, building predictive algorithms and communicating findings to drive profitable growth and performance acros"
Senior Data Scientist,"Louisville, KY",Humana,"Description
The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately compl"
"Senior Data Scientist, Analytics Platform as a Service","Boston, MA 02109 (Downtown area)",Humana,"Description
The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately compl"
Senior Data Scientist,"Fort Lee, NJ 07024",TRANZACT,"How the Position WorksThe Data Scientist reports to the VP of Data Science and Analytics and is responsible for gathering data, conducting analysis, building predictive algorithms and communicating findings to drive profitable growth and performance acros"
Data Scientist for Growing Internet of Things Company,"San Diego, CA 92121",Veracity Wireless,"Description:
We are looking for a Data Scientist to assist our product enhancement and internal process management activities. The Data Scientist will work with us to build data models based on millions of data points. This is an ideal job if you are exci"
Junior Data Scientist Apprenticeship,"Armonk, NY 10504",IBM,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual too"
Data Scientist,"New York, NY 10004 (Financial District area)",NYC Department of Consumer Affairs,"City of New York DEPARTMENT OF CONSUMER AFFAIRS Job Vacancy Notice Civil Service Title: City Research Scientist Level: IITitle Code No: 21744 Salary: $75,504.00 / $86,830.00** minimum with two years of continuous city serviceOffice Title: Data Scientist W"
Data Scientist,"Chicago, IL 60606 (The Loop area)",MessageControl,"Company Description
MessageControl is a cybersecurity start-up in Chicago providing human layer email and messaging security. Our innovative technology protects users from phishing, spoofing, fraud, business email compromise (BEC), and other types of atta"
Data Scientist,"Culver City, CA",Ipsos North America,"Data Scientist

Location: Culver City, Los Angeles California

Division: Global Science Organization (GSO), Data Science & AI Lab

The Data Science & AI Lab of the Ipsos GSO is a uniquely positioned group within Ipsos. We serve as the global R&D capabilit"
Data Scientist,"Katy, TX 77493",Weatherford,"ORGANIZATION SUMMARY
Weatherford is one of the largest multinational oilfield service companies providing innovative solutions, technology and services to the oil and gas industry. The Company operates in more than 80 countries and has a network of 620 lo"
Data Scientist I- EIP,"Charlotte, NC",Bank of America,"Job Description:
Typically 7-10 years of experience.
Develops, enhances, debugs, supports, maintains and tests software applications that support business units or supporting functions (primary based on data-warehouse Teradata). These application program "
SSD Data Scientist,"San Diego, CA",Kaiser Permanente,"Provides technical direction, including both strategic and tactical planning, execution and support of strategies for the SCPMG Medical informatics group. The position entails developing machine learning approaches to address healthcare's triple aim: to i"
